Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
Refyne,2020,Bangalore,Financial Services,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to their employees.,"Chitresh Sharma, Apoorv Kumar",Tiger Global,"$82,000,000",Series B
Lendingkart,2014,Ahmedabad,Financial Services,Lendingkart Group aims to make working capital finance available at the fingertips of entrepreneurs,"Harshvardhan Lunia, Mukul Sachan",BlueOrchard Finance,"$5,900,000",
Muvin,2020,Bangalore,Financial Services,Muvin aims to enable youth to get accustomed to banking from an early age.,"Vineet Gupta, Mukund Rao",WaterBridge Ventures,"$3,000,000",Pre-series A
Freadom,2008,Gurgaon,E-learning,"Freadom is India’s first comprehensive learning platform for children aged 3-12 to strengthen their English reading, speaking and conversation skills.",Nikhil Saraf,"Tiger Shroff, Ashneer Grover","$2,500,000",
Traya,2019,Mumbai,"Health, Wellness & Fitness",Traya provides doctor prescribed treatment plans that help manage hair loss upto stage 4.,"Saloni Anand, Altaf Saiyed",Fireside Ventures,"$2,200,000",Pre-series A
Praan,2017,Mumbai,Renewables & Environment,Praan is a venture-backed deep tech start-up using breakthrough patent-pending technology for filter-less capture of particulates and carbon dioxide from ambient air.,Angad Daryani,"Better Capital, Paradigm Shift Capital, Avaana Capital","$1,500,000",
Pepul,2020,Chennai,Computer Software,"Pepul is a new age Interest-based Social Networking platform from India, where people share their beautiful life stories & skills on their interests.",Suresh Kumar,"Hourglass Venture Partners, Girish Mathrubootham, Vijay Shekhar Sharma","$1,300,000",Seed
Kaleidofin,2017,Chennai,Financial Services,Kaleidofin is a fintech platform that propels under-banked customers towards meeting their real life goals by providing intuitive and tailored financial solutions,"Puneet Gupta, Sucharita Mukherjee",Michael & Susan Dell Foundation,"$10,000,000",Series B
LEAD School,2012,Mumbai,EdTech,LEAD is one of the fastest-growing School Ed-tech companies of India.,"Sumeet Yashpal Mehta, Smita Deorah",WestBridge Capital,"$100,000,000",
Turnip,2020,Bangalore,Online Media,Turnip : Home of the mobile gaming community and gaming content creators.,"Aditya Sharma, Pooja Dubey","Greenoaks, Elevation Capital","$12,000,000",Series A
Rooter,2016,New Delhi,Mobile Games,Rooter is India’s Leading Game Streaming Platform.,"Piyush Kumar, Dipesh Agarwal","Lightbox, March Gaming, Duane Park","$25,000,000",Series A
ORAI Robotics,2019,Bangalore,Information Technology & Services,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,"$800,000",Pre-series A
EVage,2014,Chandigarh,Automotive,"EVage is India's leading all-electric, purpose-built commercial vehicle OEM and has fused automobile designing with the ingenuity of aerospace engineering to reimagine and transform the mobility industry.",Inderveer Singh,RedBlue Capital,"$28,000,000",Seed
Chingari,2018,Bangalore,Entertainment,A unique and fun short video app where you can create interesting videos and share them with the world.,"Sumit Ghosh, Biswatma Nayak, Aditya Kothari, Deepak Salvi","Republic Capital, Onmobile, JPIN Venture Catalysts","$15,000,000",Series A
Your-Space,2016,New Delhi,Hospitality,Your space is an eco-system that serves as a safe residence for students.,"Nidhi Kumra, Shubha Lal, Karan Kaushish","Shantanu Rastogi, AJAX Capital, Holy Basil Consultancy Private Ltd","$10,000,000",Series A
ZingHR,2014,Mumbai,Information Technology & Services,"Fully-integrated Global HRMS HRTech platform to deliver outcomes for future ready enterprises, CXOs & leaders globally.",Prasad Rajappan,Tata Capital Growth Fund II,"$10,000,000",
HEAPS,2021,Bangalore,"Health, Wellness & Fitness",HEAPS is a health tech platform and Software as a Service (SaaS) provider,Dr Suman Katragadda,NVS Wealth Managers,"$550,000,000",Series A
nCORE Games,2018,Bangalore,Computer Games,India's leading mobile game publishers,"Ganesh Hande, Arindam Mitra, Vishal Gondal","Amitabh Singhal, Sandeep Nailwal","$10,000,000",Series A
CarzSo India,2019,Gurgaon,Automotive,"Offer a virtual reality of cars inside & out, helping check out the features online from the comfort of home",Vaibhav Sharma,Mytash,"$700,000",
Edustoke,2016,Bangalore,EdTech,"Edustoke is India's Largest School Discovery, Selection & Reviews Platform.","Pawas Tyagi, Rohit Malik",Indus Initiatives,"$400,000",Seed
NewsReach,2018,Mumbai,Online Media,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Darshan Shah, Soniya Kundnani","JITO Angel Network, Sharan Aggarwal",Undisclosed,
Cloud Tailor,2020,Hyderabad,Apparel & Fashion,World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.,"Susmitha, Rudra Lakkakula","35North Ventures, Mergerdomo","$1,000,000",Pre-series A
Arya.Ag,2013,Noida,AgriTech,World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.,"Chattanathan Devarajan, Prasanna Rao, Chandra","Asia Impact SA, Lightrock India, Quona Capital","$60,000,000",Series C
Epigeneres Biotech,2008,Mumbai,Biotechnology,"Epigeneres is a leading biotechnology company that discovers, develops, manufactures and commercializes molecular medicines and nutrigenomic formulations",Ashish Tripathi,"LetsVenture Angel Fund, Moez Daya","$60,000,000",Series B
INDmoney,2019,Gurgaon,Financial Services,INDmoney is a Super Money App that brings all family's finances to one place.,Ashish Kashyap,"Steadview Capital, Tiger Global, Dragoneer Investment Group","$75,000,000",Series D
Addverb Technologies,2016,Noida,Industrial Automation,Addverb is a global robotics company based out of India.,"Sangeet Kumar, Prateek Jain, Bir Singh, Satish Kumar Shukla, Amit Kumar",Reliance,"$132,000,000",
Qarmatek,2011,Ahmedabad,Telecommunications,A credible after-sales service partner with customized & predictive solutions for electronic gadgets & appliance brands.,"Arun Hattangadi, Krunal Shah","Gujarat Venture Finance Limited, Caspian Debt","$3,000,000",
AppX,2020,New Delhi,Tech startup,Enables creators to run their online businesses from their own storefront,"Sameer Sadana, Anuj Gupta",Y Combinator,"$1,300,000",
MyCaptain,2013,Bangalore,EdTech,MyCaptain is an ed-tech startup that enables every human to pursue a career they love.,"Mohammed Zeeshan, Sameer Ramesh, Ruhan Naqash",Ankur Capital,"$3,000,000",Pre-series A
Mivi,2016,Hyderabad,Electrical & Electronic Manufacturing,Mivi is an electronic accessories startup founded by two engineers with the goal of making Quality Affordable,"Viswanadh Kandula, Midhula",N+1 Capital,Undisclosed,
HUVIAiR,2016,Bangalore,Computer Software,Huviair is a construction technology company that helps business' to enhance on-site productivity and reduce progress monitoring time while cutting down on overall project costs.,"Vikshut Mundkur, Arjun P Janananda",Chiratae Ventures,"$3,200,000",Series A
Aerostrovilos Energy,2017,Chennai,Machinery,Aerostrovilos is an IIT Madras-based startup company that manufactures micro gas turbines which can electrify heavy-duty long haul trucks,"Rohit Grover, Pradeep Thangappan","Tube Investment of India, Murugappa Group Company","$400,000",Seed
Scripbox,2012,Bangalore,Financial Services,Scripbox is India's leading digital wealth management service.,"Ashok Kumar, Sanjiv Singhal","Accel Partners, Transpose Platform, the Sparkle Fund","$21,000,000",Series D
Pluckk,2017,Mumbai,Food & Beverages,Fresh produce food-tech venture,Pratik Gupta,Exponentia Ventures,"$5,000,000",Seed
Dogsee Chew,2015,Bangalore,Food & Beverages,100% Natural Dog Treats.,"Bhupendra Khanal, Sneh Sharma","Mankind Pharma, Sixth Sense Ventures","$6,700,000",Series A
Lummo,2019,Bangalore,Entreprenurship,Empower SEA entrepreneurs to grow their business by providing them with the best technology & partner solutions,"Krishnan, Lorenzo Peracchione","Tiger Global, Sequoia Capital India","$80,000,000",Series C
Threedots,2021,Bangalore,Financial Services,A community investing platform,"Prakhar Bhardwaj, Rishu Garg, Akul Agarwal",Kalaari Capital,"$4,000,000",Seed
MatchLog,2019,Mumbai,Logistics & Supply Chain,First Multi-Modal Marketplace with Power of Triangulation and Cargo network to DELIVER ZERO WASTAGE,Dhruv Taneja,"Blue Ashva Capital, Rainmatter Climate, Capital-A","$3,000,000",Pre-series
NowPurchase,2017,Kolkata,B2B marketplace,Production driven procurement for India's 140B$ Metal Manufacturing Industry,Naman Shah,"Orios, InfoEdge Ventures","$2,400,000",Seed
Sahicoin,2021,Gurgaon,Financial Services,"Sahicoin aims to empower the next billion crypto enthusiasts to make faster and better investing decisions, by providing simple and actionable information from a global community of trusted friends and experts.","Ankush Rajput, Amit Nayak, Melbin Thomas","Alameda Ventures, Better Capital Ventures","$1,750,000",Seed
Finsall,2019,Bangalore,Financial Services,Finsall is an end-to-end technology process for insurance premium financing and has built a multi-lender platform for banks and NBFCs.,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,"$1,000,000",Pre-series A
GameEon Studio,2013,Mumbai,Computer Games,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Nikhil Malankar,"Mrunal Jhaveri, Ajay Upadhyaya","$200,000",
Trainn,2020,Chennai,Computer Software,Trainn helps SaaS companies accelerate product adoption with product training videos and academies.,"Vivekanandhan Natarajan, Sumana Abirami Ammaiyappan",Speciale Invest,"$700,000",Seed
Diginoor,2021,Chennai,Information Technology & Services,A first of its kind NFT marketplace for the most exclusive and officially licensed Indian cinema collectibles.,"Shaamil Karim, Yash Rathod","Contrary Capital, Polygon Fund","$1,000,000",Seed
Pi Ventures,2016,Bangalore,Venture Capital & Private Equity,Pioneering deep-tech investments in India!,Manish,"Binny Bansal, Varun Alagh","$40,000,000",
SaaS Labs,2016,Noida,SaaS,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",Gaurav Sharma,Sequoia Capital,"$42,000,000",Series B
StockGro,2020,Bangalore,Financial Services,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,"BITKRAFT Ventures, General Catalyst, Itai Tsiddon","$32,000,000",Series A
GIVA,2019,Bangalore,Luxury Goods & Jewelry,"GIVA is an online first silver jewellery store aiming with a vision to provide authentic, elegant, and affordable jewellery.","Ishendra Agarwal, Nikita Prasad, Sachin Shetty","Sixth Sense Ventures, A91 Partners","$10,000,000",Series A
toothsi,2018,Mumbai,"Health, Wellness & Fitness",Toothsi offers at-home smile makeover service.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Stride Ventures,"$9,000,000",
Zuper,2016,Chennai,Information Technology & Services,"Zuper is an Enterprise mobility platform enabling organizations to manage, modernize and transform field and remote workforce.","Karthik V, Vijay Narasiman","Sequoia Capital India, Prime Venture Partners","$13,000,000",Series A
CellStrat,2018,Bangalore,Computer Software,CellStrat is an AI Product and R&D firm serving global AI customers via an innovative AI SAAS platform!,"Vivek, Vishal Singhal",,"$1,40,000",
StanPlus,2016,Hyderabad,Hospital & Health Care,"Provide hospitals and enterprises with tech solutions that augment their existing medical response systems to respond faster, and offer the patients better experience throughout the emergency value chain.","Prabhdeep Singh, Antoine Poirson, Jose Leon","HealthQuad, Kalaari Capital, HealthX Capital","$20,000,000",Series A
Swiggy,2014,Bangalore,FoodTech,Swiggy is India’s leading on-demand delivery platform with a tech-first approach to logistics and a solution-first approach to consumer demands.,"Sriharsha Majety, Rahul Bothra, Dale Vaz",Invesco,"$700,000,000",
Ola Electric,2017,Bangalore,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,"Tekne Private Ventures, Alpine Opportunity Fund, Edelweiss","$200,000,000",
Hospals,2018,New Delhi,Hospital & Health Care,"Hospals is ‘The most trust able’ medical travel company in India, connecting patients and doctors around the world, with the best hospitals and surgeons in India.","Danish Ahmed, Obaidullah, Suneel Kapur","Inflection Point Ventures, 9Unicorns, Singapore-based Wavemaker","$3,500,000",Pre-series A
HYPD,2020,New Delhi,E-commerce,"Hypd is a creator-driven marketplace, aimed at bridging the gap between getting excited and buying.","Ashwarya Garg, Akshay Bhatnagar","Better Capital, Sauce VC, Bhuvan Bam","$1,500,000",Seed
Oben Electric,2020,Bangalore,Automotive,Oben EV is an electric vehicle company developing new electric 2-wheelers in-house with indigenously developed components to deliver high quality products for the Indian market,"Madhumita Agarwal, Dinkar Agarwal","Krishna Bhupal, Shajikumar Devakar","$1,000,000",Seed
SustainKart,2021,Hyderabad,E-commerce,India’s largest ecommerce marketplace exclusively for sustainable products.,"Shilpa Reddy, Kanthi Dutt",India Accelerator,"$500,000",Pre-seed
Super Scholar,2019,Mumbai,Education Management,A mission to give every Indian access to the education they deserve.,"Rohan Lodha, Priyes Bamne","MAGIC Fund, 2am VC, Astir VC","$400,000",
NowPurchase,2017,Kolkata,Metal manufacturing,NowPurchase is currently focused on the 19B$ foundry and castings industry.,"Naman Shah, Aakash Shah","Orios, InfoEdge Ventures","$2,400,000",Seed
Darwinbox,2015,Bangalore,Information Technology & Services,"A new-age, end to end HR Technology platform built for Enterprise.","Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni",Technology Crossover Ventures,"$72,000,000",Series D
Flint,2021,Bangalore,Financial Services,Crypto investment startup,"Akshit Bordia, Anshu Agrawal","Sequoia Capital India, GFC","$5,000,000",Seed
Vajro,2016,Chennai,Computer Software,Vajro is an Instant mobile app platform which builds exquisitely crafted native apps for your e-commerce store!,"Niwin Santhosh, Raghuraman Ramamurthy",Five Elms Capital,"$8,500,000",Series A
Raise Financial,2021,Mumbai,Financial Services,A better way to manage your money. Financing + Insurance + Investing + Payments + Wealth.,Pravin Jadhav,"BEENEXT, Mirae Asset Ventures","$22,000,000",Series A
Desi Hangover,2014,Mumbai,Apparel & Fashion,"DesiHangover is a handcrafted, upcycled leather shoe brand that goes beyond just that.","Hitesh Kenjale, Lakshya Arora, Abha Agarwal","Social Alpha, CIIE.co, Be An Angel Network","$1,800,000",
Vyapar,2017,Bangalore,Financial Services,Vyapar is the simplest and easy to use Accounting and Inventory management application.,"Shubham Agrawal, Sumit Agarwal",WestBridge Capital,"$30,000,000",Series B
MinIO,2014,Bangalore,Computer Software,"MinIO has pioneered the creation of high-performance, kubernetes-native object storage.","Anand Babu Periasamy, Harshavardhana, Garima Kapoor","SoftBank Vision Fund 2, Dell Capital, General Catalyst","$100,000,000",Series B
Growth School,2021,Bangalore,E-learning,Partner with the top 1% of instructors to create high-impact Cohort Based Courses on personal and professional growth.,Vaibhav Sisinty,"Sequoia Capital India, Owl Ventures","$5,000,000",Seed
Kissht,2015,Mumbai,Financial Services,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sale",Krishnan Viswanathan,"Trifecta Capital, Northern Arc","$10,000,000",
iMocha,2012,Pune,Computer Software,iMocha offers the most comprehensive skills assessment solutions to help enterprises hire job-fit candidates,"Amit Mishra, Sujit Karpe",Eight Roads Ventures,"$14,000,000",Series A
Our Food,2016,Hyderabad,Food Production,Democratising food processing industry ~ Farmers becoming entrepreneurs,"Reddy, Raghu Prasad Mulukoju, Shashikanth Menchu","3Lines Venture Capital, C4D Asia Fund","$6,000,000",
o9 Solutions,2009,Bangalore,Computer Software,"The knowledge powered analytics, planning and learning platform for next-generation global enterprises.","Sanjiv Sidhu, Chakri Gottemukkala","General Atlantic, BeyondNetZero","$295,000,000",
Hike,2012,New Delhi,Social Media,"Hike is building a new social future at the intersection of Social, Gaming & Crypto.",Kavin Bharti Mittal,Polygon,Undisclosed,
SuperOps.ai,2020,Chennai,Computer Software,SuperOps.ai is an early stage startup in the MSP space.,Arvind Parthiban,"Addition, Tanglin Ventures","$14,000,000",Series A
Aqgromalin,2020,Chennai,Farming,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Bharani CL, Prasanna Manogaran","Sequoia Capital India, Omnivore","$5,000,000",Pre-series A
Ekank Technologies,2020,New Delhi,Software,Vision is to create a gateway through which people can access content seamlessly without getting overwhelmed.,"Chandranshu, Chetan Rexwal","Archana Priyadarshini, Amit Jain, Amit Hooja, Deepak Jain","$1,000,000",
Broomees,2020,New Delhi,Information Technology & Services,"Broomees is revolutionizing the unorganized sector to bring to the customers, one curated platform for all their helper needs.","Vaibhav Agrawal, Saurav Kumar","2 AM VC, Magic Fund","$600,000",
Moglix',2015,Noida,Software,An Asia-based B2B commerce company intensively inclined towards B2B procurement of industrial supplies,Rahul Garg,"Tiger Global, Alpha Wave Global","$250,000,000",Series F
Social Swag,2020,Mumbai,E-learning,A platform for infinite possibilities with favourite celebrities,"Rana Daggubati, Akshay Kumar","IMEF, Unicorn India Ventures","$3,500,000",
MoooFarm,2019,Gurgaon,Information Technology & Services,Building connected commerce to lift India’s 100 million dairy farmers out of poverty and ensure nutritious milk for over billion people.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Accel India, Navus Ventures","$2,400,000",Seed
Infurnia,2014,Bangalore,Information Technology & Services,Infurnia is the world’s first cloud-based architecture and interior design platform created for professional users.,"Nikhil Kuma, Lovepreet Mann","Yogesh Chaudhary, Pallavi Nadhani","$500,000",
Bold Finance,2021,Mumbai,Financial Services,"Building a technology and operations layer, which enables jewelers and pawnbrokers to work with multiple Banks and convert the unorganized business into an organized one with just an app.","Nikhil Jain, Durgesh Suthar",Antler India,Undisclosed,Seed
VDOC,2021,Gurgaon,"Health, Wellness & Fitness","VDoc enables healthcare practitioners to offer evidence-based Care with feature-rich, data collecting, medical devices","Sanjeev Malhotra, Siddharth Sharma",Vinod K Dasari,Undisclosed,Seed
Kisanwala,2020,Hyderabad,Information Technology & Services,"Helping farmers with end-to-end solutions for all farm needs by providing technology, information, inputs and support.","Gundala MadhuSudanReddy, Parag Modi",,"$1,000,000",
Burgerama,2018,Gurgaon,Food & Beverages,"A fast-casual, made for delivery burger experience, serving authentic, International, easy-to-eat comfort food, in eco-friendly packaging!","Kabir Bose, Vivek Prakash, Viraaj Badhwar","Rishab Malik, Atul Singh","$700,000",Pre-series A
ZFW,2020,New Delhi,D2C,ZFW is India's 1st platform to help F&B & D2C brands scale distribution rapidly using its network of 120+ dark stores across major cities.,Madhav Kasturia,"Epigamia, Renee Cosmetics, Beardo","$415,000",Seed
PlantVita,2020,Mumbai,"Health, Wellness & Fitness",PlantVita offers irresistible plant-based products with no compromise on nutrition.,"Anmol Choubey, Sahil Shah","JITO Angel Network, AIM Angel group",Undisclosed,Seed
